k,accuracy,f1_0,f1_1
30,0.8713910761154856,0.842443729903537,0.8913525498891353
30,0.8792650918635171,0.8486842105263158,0.8995633187772926
30,0.884514435695538,0.8616352201257862,0.9009009009009009
30,0.89501312335958,0.8717948717948718,0.9111111111111111
30,0.8451443569553806,0.802675585284281,0.8725701943844493
30,0.8923884514435696,0.8690095846645367,0.9086859688195991
30,0.9133858267716536,0.8990825688073395,0.9241379310344827
31,0.884514435695538,0.8562091503267973,0.9035087719298246
31,0.8608923884514436,0.8273615635179153,0.8835164835164835
31,0.889763779527559,0.8670886075949367,0.905829596412556
31,0.8740157480314961,0.8451612903225807,0.8938053097345132
31,0.8792650918635171,0.8486842105263158,0.8995633187772926
31,0.884514435695538,0.8616352201257862,0.9009009009009009
31,0.8923884514435696,0.8698412698412699,0.9082774049217002
31,0.8451443569553806,0.8013468013468014,0.8731182795698925
31,0.889763779527559,0.8662420382165605,0.90625
31,0.910761154855643,0.8957055214723927,0.9220183486238532
32,0.8871391076115486,0.8590163934426229,0.9059080962800875
32,0.8582677165354331,0.8258064516129032,0.8805309734513275
32,0.8923884514435696,0.8706624605678234,0.9078651685393259
32,0.8792650918635171,0.8506493506493507,0.8986784140969163
32,0.8818897637795275,0.8524590163934426,0.9015317286652079
32,0.8871391076115486,0.8643533123028391,0.903370786516854
32,0.89501312335958,0.8726114649681529,0.9107142857142857
32,0.84251968503937,0.7986577181208053,0.8706896551724138
32,0.889763779527559,0.8662420382165605,0.90625
32,0.9133858267716536,0.8990825688073395,0.9241379310344827
33,0.8871391076115486,0.8590163934426229,0.9059080962800875
33,0.8582677165354331,0.8246753246753247,0.8810572687224669
33,0.8871391076115486,0.8643533123028391,0.903370786516854
33,0.8766404199475065,0.8478964401294499,0.8962472406181016
33,0.884514435695538,0.8562091503267973,0.9035087719298246
33,0.8871391076115486,0.8643533123028391,0.903370786516854
33,0.8976377952755905,0.8745980707395499,0.9135254988913526
33,0.84251968503937,0.7986577181208053,0.8706896551724138
33,0.889763779527559,0.8653846153846154,0.9066666666666666
33,0.916010498687664,0.9012345679012346,0.9269406392694064
34,0.889763779527559,0.8618421052631579,0.9082969432314411
34,0.863517060367454,0.832258064516129,0.8849557522123894
34,0.884514435695538,0.8616352201257862,0.9009009009009009
34,0.8713910761154856,0.842443729903537,0.8913525498891353
34,0.884514435695538,0.8562091503267973,0.9035087719298246
34,0.8923884514435696,0.8706624605678234,0.9078651685393259
34,0.8976377952755905,0.8753993610223643,0.9131403118040089
34,0.847769028871391,0.8066666666666666,0.8744588744588745
34,0.89501312335958,0.8717948717948718,0.9111111111111111
34,0.916010498687664,0.9012345679012346,0.9269406392694064
35,0.889763779527559,0.8627450980392157,0.9078947368421053
35,0.8608923884514436,0.8284789644012945,0.8830022075055187
35,0.889763779527559,0.8679245283018868,0.9054054054054054
35,0.8792650918635171,0.8525641025641025,0.8977777777777778
35,0.884514435695538,0.8562091503267973,0.9035087719298246
35,0.8871391076115486,0.8643533123028391,0.903370786516854
35,0.89501312335958,0.8717948717948718,0.9111111111111111
35,0.84251968503937,0.7986577181208053,0.8706896551724138
35,0.89501312335958,0.8717948717948718,0.9111111111111111
35,0.916010498687664,0.9012345679012346,0.9269406392694064
36,0.889763779527559,0.8627450980392157,0.9078947368421053
36,0.8661417322834646,0.8349514563106796,0.8874172185430463
36,0.889763779527559,0.8679245283018868,0.9054054054054054
36,0.8740157480314961,0.8461538461538461,0.8933333333333333
36,0.8818897637795275,0.8524590163934426,0.9015317286652079
36,0.8923884514435696,0.8706624605678234,0.9078651685393259
36,0.89501312335958,0.8726114649681529,0.9107142857142857
36,0.847769028871391,0.8066666666666666,0.8744588744588745
36,0.89501312335958,0.8717948717948718,0.9111111111111111
36,0.9133858267716536,0.8984615384615384,0.9244851258581236
