hyperparameters,k,accuracy,f1_0,f1_1
ignore,24,0.89501312335958,0.8757763975155279,0.9090909090909091
ignore,24,0.8792650918635171,0.8486842105263158,0.8995633187772926
ignore,24,0.8740157480314961,0.8389261744966443,0.896551724137931
ignore,24,0.8792650918635171,0.8553459119496856,0.8963963963963963
ignore,24,0.9081364829396326,0.891640866873065,0.9202733485193622
ignore,24,0.8608923884514436,0.8284789644012945,0.8830022075055187
ignore,24,0.916010498687664,0.8974358974358975,0.9288888888888889
ignore,25,0.8582677165354331,0.8187919463087249,0.8836206896551724
ignore,25,0.863517060367454,0.8385093167701864,0.8818181818181818
ignore,25,0.884514435695538,0.8616352201257862,0.9009009009009009
ignore,25,0.8923884514435696,0.8730650154798761,0.9066059225512528
ignore,25,0.8740157480314961,0.8421052631578947,0.8951965065502183
ignore,25,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,25,0.8818897637795275,0.8580441640378549,0.898876404494382
ignore,25,0.910761154855643,0.89375,0.9230769230769231
ignore,25,0.8556430446194225,0.8220064724919094,0.8785871964679912
ignore,25,0.9133858267716536,0.8938906752411575,0.926829268292683
ignore,26,0.863517060367454,0.825503355704698,0.8879310344827587
ignore,26,0.868766404199475,0.84375,0.8868778280542986
ignore,26,0.8871391076115486,0.8652037617554859,0.9029345372460497
ignore,26,0.8923884514435696,0.8730650154798761,0.9066059225512528
ignore,26,0.8792650918635171,0.8486842105263158,0.8995633187772926
ignore,26,0.8766404199475065,0.842809364548495,0.8984881209503239
ignore,26,0.8792650918635171,0.8553459119496856,0.8963963963963963
ignore,26,0.9028871391076115,0.8847352024922118,0.9160997732426304
ignore,26,0.8556430446194225,0.8220064724919094,0.8785871964679912
ignore,26,0.9133858267716536,0.8945686900958466,0.9265033407572383
ignore,27,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,27,0.8661417322834646,0.8411214953271028,0.8843537414965986
ignore,27,0.8871391076115486,0.8643533123028391,0.903370786516854
ignore,27,0.8923884514435696,0.8730650154798761,0.9066059225512528
ignore,27,0.8792650918635171,0.8486842105263158,0.8995633187772926
ignore,27,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,27,0.8740157480314961,0.8509316770186336,0.8909090909090909
ignore,27,0.905511811023622,0.8875,0.918552036199095
ignore,27,0.8530183727034121,0.8181818181818182,0.8766519823788547
ignore,27,0.9081364829396326,0.887459807073955,0.9223946784922394
ignore,28,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,28,0.8740157480314961,0.85,0.8914027149321267
ignore,28,0.8976377952755905,0.8761904761904762,0.912751677852349
ignore,28,0.89501312335958,0.8765432098765432,0.908675799086758
ignore,28,0.8818897637795275,0.8514851485148515,0.9019607843137255
ignore,28,0.8740157480314961,0.8389261744966443,0.896551724137931
ignore,28,0.8740157480314961,0.85,0.8914027149321267
ignore,28,0.905511811023622,0.8867924528301887,0.918918918918919
ignore,28,0.8556430446194225,0.8220064724919094,0.8785871964679912
ignore,28,0.9133858267716536,0.8938906752411575,0.926829268292683
ignore,29,0.863517060367454,0.8243243243243243,0.8884120171673819
ignore,29,0.8740157480314961,0.85,0.8914027149321267
ignore,29,0.8923884514435696,0.8698412698412699,0.9082774049217002
ignore,29,0.8976377952755905,0.88,0.9107551487414187
ignore,29,0.8792650918635171,0.847682119205298,0.9
ignore,29,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,29,0.8766404199475065,0.8535825545171339,0.8934240362811792
ignore,29,0.9081364829396326,0.890282131661442,0.9209932279909706
ignore,29,0.8503937007874016,0.8143322475570033,0.8747252747252747
ignore,29,0.9133858267716536,0.8938906752411575,0.926829268292683
ignore,30,0.8661417322834646,0.8271186440677966,0.8907922912205567
ignore,30,0.8713910761154856,0.8473520249221184,0.8888888888888888
ignore,30,0.89501312335958,0.8726114649681529,0.9107142857142857
ignore,30,0.9002624671916011,0.8834355828220859,0.9128440366972477
ignore,30,0.884514435695538,0.8552631578947368,0.9039301310043668
ignore,30,0.8740157480314961,0.8389261744966443,0.896551724137931
ignore,30,0.8792650918635171,0.85625,0.8959276018099548
ignore,30,0.9028871391076115,0.8840125391849529,0.9164785553047404
ignore,30,0.847769028871391,0.8116883116883117,0.8722466960352423
ignore,30,0.916010498687664,0.8974358974358975,0.9288888888888889
ignore,31,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,31,0.8713910761154856,0.8463949843260188,0.8893905191873589
ignore,31,0.89501312335958,0.8726114649681529,0.9107142857142857
ignore,31,0.9002624671916011,0.8834355828220859,0.9128440366972477
ignore,31,0.8740157480314961,0.8421052631578947,0.8951965065502183
ignore,31,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,31,0.8766404199475065,0.8535825545171339,0.8934240362811792
ignore,31,0.9081364829396326,0.890282131661442,0.9209932279909706
ignore,31,0.8503937007874016,0.8143322475570033,0.8747252747252747
ignore,31,0.9133858267716536,0.8938906752411575,0.926829268292683
ignore,32,0.8608923884514436,0.8215488215488216,0.886021505376344
ignore,32,0.8713910761154856,0.8454258675078864,0.8898876404494382
ignore,32,0.89501312335958,0.8726114649681529,0.9107142857142857
ignore,32,0.8976377952755905,0.88,0.9107551487414187
ignore,32,0.8818897637795275,0.8514851485148515,0.9019607843137255
ignore,32,0.8740157480314961,0.8389261744966443,0.896551724137931
ignore,32,0.8766404199475065,0.8535825545171339,0.8934240362811792
ignore,32,0.9081364829396326,0.890282131661442,0.9209932279909706
ignore,32,0.8530183727034121,0.8181818181818182,0.8766519823788547
ignore,32,0.916010498687664,0.8974358974358975,0.9288888888888889
ignore,33,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,33,0.868766404199475,0.8427672955974843,0.8873873873873874
ignore,33,0.89501312335958,0.8726114649681529,0.9107142857142857
ignore,33,0.9002624671916011,0.8834355828220859,0.9128440366972477
ignore,33,0.8792650918635171,0.847682119205298,0.9
ignore,33,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,33,0.8740157480314961,0.8509316770186336,0.8909090909090909
ignore,33,0.9081364829396326,0.890282131661442,0.9209932279909706
ignore,33,0.8530183727034121,0.8169934640522876,0.8771929824561403
ignore,33,0.9133858267716536,0.8938906752411575,0.926829268292683
ignore,34,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,34,0.8766404199475065,0.8526645768025078,0.8939051918735892
ignore,34,0.8976377952755905,0.8761904761904762,0.912751677852349
ignore,34,0.9002624671916011,0.8834355828220859,0.9128440366972477
ignore,34,0.8818897637795275,0.8514851485148515,0.9019607843137255
ignore,34,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,34,0.8740157480314961,0.85,0.8914027149321267
ignore,34,0.910761154855643,0.8930817610062893,0.9234234234234234
ignore,34,0.8503937007874016,0.8143322475570033,0.8747252747252747
ignore,34,0.916010498687664,0.8980891719745223,0.9285714285714286
ignore,35,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,35,0.8713910761154856,0.8463949843260188,0.8893905191873589
ignore,35,0.9002624671916011,0.879746835443038,0.9147982062780269
ignore,35,0.89501312335958,0.8773006134969326,0.908256880733945
ignore,35,0.884514435695538,0.8543046357615894,0.9043478260869565
ignore,35,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,35,0.8713910761154856,0.8473520249221184,0.8888888888888888
ignore,35,0.9133858267716536,0.897196261682243,0.9251700680272109
ignore,35,0.8503937007874016,0.8155339805825242,0.8741721854304636
ignore,35,0.910761154855643,0.8910256410256411,0.9244444444444444
ignore,36,0.8608923884514436,0.8215488215488216,0.886021505376344
ignore,36,0.8740157480314961,0.8481012658227848,0.8923766816143498
ignore,36,0.9002624671916011,0.879746835443038,0.9147982062780269
ignore,36,0.89501312335958,0.8773006134969326,0.908256880733945
ignore,36,0.884514435695538,0.8543046357615894,0.9043478260869565
ignore,36,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,36,0.8740157480314961,0.85,0.8914027149321267
